sender,to,amount0,amount1,block
0xf164fC0Ec4E93095b804a4795bBe1e041497b92a,0xf164fC0Ec4E93095b804a4795bBe1e041497b92a,24856440740760512086,217954340644643404,10137830
0xf164fC0Ec4E93095b804a4795bBe1e041497b92a,0xf164fC0Ec4E93095b804a4795bBe1e041497b92a,38489936585774750099,337499999999999998,10138767
0xf164fC0Ec4E93095b804a4795bBe1e041497b92a,0xf164fC0Ec4E93095b804a4795bBe1e041497b92a,12829978861924916699,112499999999999999,10140193
0xf164fC0Ec4E93095b804a4795bBe1e041497b92a,0xf164fC0Ec4E93095b804a4795bBe1e041497b92a,997304834282475967226,8011306586193392707,10152008
0xf164fC0Ec4E93095b804a4795bBe1e041497b92a,0xf164fC0Ec4E93095b804a4795bBe1e041497b92a,115286371733339304566,706486827850450444,10158499
0xf164fC0Ec4E93095b804a4795bBe1e041497b92a,0xf164fC0Ec4E93095b804a4795bBe1e041497b92a,79243467226444692507,413855913636230984,10187715
0xf164fC0Ec4E93095b804a4795bBe1e041497b92a,0xf164fC0Ec4E93095b804a4795bBe1e041497b92a,181495107244051215109,1193441558077257550,10189730
0xf164fC0Ec4E93095b804a4795bBe1e041497b92a,0xf164fC0Ec4E93095b804a4795bBe1e041497b92a,201978098699494769843,1365761911116674529,10195167
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,112084966645154548420,792247396704953457,10214990
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,46384812133984286916,337019098675531911,10243366
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,8055741521457616642327,65249994819722096240,10266360
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,2047351427276606091110,14883540538628201713,10275758
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,8041030160226045597102,54930277477773781632,10288867
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,233483931987472833708,1951869680508666637,10304377
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,278080781461957902164,2116561826225074246,10317990
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,479153740374501623182,3152470574032503482,10356733
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,793132973396686724014,7867597079667826211,10399321
0xf164fC0Ec4E93095b804a4795bBe1e041497b92a,0xf164fC0Ec4E93095b804a4795bBe1e041497b92a,375883053159026892725,5180148203399549680,10423475
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,82603009550352679842,1069284076242093274,10484404
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,17724518485262673425,248322846367046053,10489545
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,498429210286104984999,7275008371541706111,10491820
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115812349503498432443,1451419516712825337,10525739
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,59158452064031936062,676832121693360832,10533694
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,108407092723193449465,1155178921173990655,10560855
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,67271343789999105419,681347479669698050,10579532
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,3265401075035212381962,28576705639650754739,10601694
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,278427277421493935805,2456591216811831544,10607853
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,609050421759334131554,6413225027356531311,10610431
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,8070857811222842988,100992031555290184,10618116
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,61345953875871694237,748357895429582189,10625223
