sender,amount0,amount1,block
0xf164fC0Ec4E93095b804a4795bBe1e041497b92a,100000000000000000000,870000000000000000,10113195
0xf164fC0Ec4E93095b804a4795bBe1e041497b92a,4200000000000000000,38827902213031784,10131875
0xf164fC0Ec4E93095b804a4795bBe1e041497b92a,20000000000000000000,184894772443008497,10132053
0xf164fC0Ec4E93095b804a4795bBe1e041497b92a,34213276965133111312,299999999999999999,10136872
0xf164fC0Ec4E93095b804a4795bBe1e041497b92a,17106638482566555668,149999999999999999,10137578
0xf164fC0Ec4E93095b804a4795bBe1e041497b92a,365400000000000000000,3204019308402237662,10145400
0xf164fC0Ec4E93095b804a4795bBe1e041497b92a,20000000000000000000,156257268000346492,10145521
0xf164fC0Ec4E93095b804a4795bBe1e041497b92a,103281200420549261561,787139717525486910,10149049
0xf164fC0Ec4E93095b804a4795bBe1e041497b92a,382800000000000000000,2694415986813630055,10150744
0xf164fC0Ec4E93095b804a4795bBe1e041497b92a,253100000000000000000,1781496045617893853,10150829
0xf164fC0Ec4E93095b804a4795bBe1e041497b92a,9590908841004769637183,47465309152751149988,10168031
0xf164fC0Ec4E93095b804a4795bBe1e041497b92a,81792490957838882155,399999999999999999,10175820
0xf164fC0Ec4E93095b804a4795bBe1e041497b92a,432442205315723427676,2255637604505519057,10176583
0xf164fC0Ec4E93095b804a4795bBe1e041497b92a,900000000000000000000,4596018060169715008,10187403
0xf164fC0Ec4E93095b804a4795bBe1e041497b92a,361321793566765566508,2375912226117179268,10189761
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,158061233936682390424,1392252563301023872,10219863
0xf164fC0Ec4E93095b804a4795bBe1e041497b92a,16265958892752862468015,129014661627671688195,10238473
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,44655677103506903791,349999999999999999,10239825
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,255555194582686601453,1769644660471513650,10277147
0xf164fC0Ec4E93095b804a4795bBe1e041497b92a,1692486011084671883940,11561792999607160597,10288816
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,9000000000000000006747,61481239026476487146,10288939
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,267964247989465208059,2191793419917476185,10308019
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,500074337492285712894,3010725416701301998,10337113
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,3567102327283343279,24999999999999999,10378551
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,754000000000000000000,8203795908079968943,10391748
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,285657436262485729391,3012763789830366080,10408120
0xf164fC0Ec4E93095b804a4795bBe1e041497b92a,381600246714616243820,4947288398959917348,10414543
0xf164fC0Ec4E93095b804a4795bBe1e041497b92a,4533510674134070085,58810782439326375,10414543
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,935980321294158149148,14819168157615201234,10424876
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,184145000000000000000,2338048808785498725,10436992
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,34661638568514550031,413975281139175465,10440765
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,84921139973935913453,1002043590825566223,10447448
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,2708106700370674328030,31974877063206444567,10462678
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,19357975173499282762,224544251679676055,10466699
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,87974592529121892181,1001371685157239017,10479475
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,110000000000000000000,1487589978349409097,10486501
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,2614964205941675724566,38380502528225774377,10512152
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,379632396041766783457,4985332890938963295,10523573
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,42401438780802131666,499999999999999999,10527597
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,58132304365026396116,685652744831266678,10528125
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,60675647704220952750,499999999999999999,10541097
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,108002072696639646696,1150026370023822015,10550468
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,30884054006269577460,345139107780769368,10553409
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,180000000000000000000,1984111140722280377,10553905
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,64687334479361825149,699999999999999999,10557426
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,13681585900979382521383,149999999999999999999,10559395
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,49624074069032880065,499999999999999999,10562873
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,118000000000000000000,1122737029260330254,10571196
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,46607647158222732643,435117613369386501,10573403
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,395009466744049530552,3990871797926075989,10580742
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,60427305452980503389,499999999999999999,10594669
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,1189972964957662616,9999999999999999,10595398
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,352909241341472676826,3014986569895300883,10595605
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,281800000000000000000,2411279704396540951,10595652
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,351130201948638535727,3022569517778281362,10595705
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,62964352791211785914,499999999999999999,10600222
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,10000000000000000000,80626701129191815,10600318
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,98429999225489299427,838365777285206947,10600415
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,3302681008154236362533,28227732594536674208,10600496
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,67800000000000000000,602833686989476235,10605449
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,586510263930000000000,5132582898481832385,10606322
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,363678887354696378424,2999999999999999999,10606703
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,1171379641253020898578,10319438189808867507,10607690
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,371827277421493935805,3270022260207323952,10607948
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,57969898747960906077,499999999999999999,10608509
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,1107547600682357147355,10999999999999999999,10612468
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,215511136283646446654,2128860281863835355,10612497
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,32366766523846077590,319273765118918837,10612523
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,52077799490791440449,547855506027668032,10615038
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,212707634730886108340,2232577000541436413,10615278
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,709276506319631908294,8038460140450244961,10616424
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,38888645445760707787,499999999999999999,10618298
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,25455022385441297908,299999999999999999,10620517
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,24600000000000000000,293872928926160183,10623108
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,14565158405311530860513,167999999999999999999,10632247
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,2616495145343785460054,30571480267608132271,10635201
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,832695640878643109960,10032584690819300124,10636664
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,440000000000000000000,4722590675044740136,10640890
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,505746984682761508053,4999999999999999999,10653618
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,245753000000000000000,2343244228206716476,10654710
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,180000000000000000000,1939503147496772102,10669321
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,22683517911078989485,239608557880166515,10669620
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,111133534843351642002,1664551061229084649,10671891
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,994098912090245668423,16480745689894289073,10672167
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,192955373486714175435,4476370764137921440,10673029
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,3030287590809377731935,86476903800154799033,10673270
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,150000000000000000000,4373382479560489730,10673353
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,826083750582711399596,17097432958207825278,10675531
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,7485155469669660853,155240386326619306,10675539
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,110000000000000000000,2573728503892093336,10678947
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,20000000000000000000,463697475483862132,10679380
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,32073779489546347425,836128649463824082,10679872
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,252968231876154643673,7640578788946021680,10680902
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,1048200000000000000000,28504741093273426255,10680986
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,4050285922714006225,121999999999999999,10683642
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,295970820277204117,6888957301908600,10685462
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,93555998201097185450,2049310288288974862,10687411
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,704400000000000000000,15250930422761406517,10687611
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,230067957965854281966,4957570990983648809,10688050
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,9000000000000000000,201265648528321759,10688187
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115239273001497878367,2832202126610224693,10691756
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,205153000000000000000,4520337989570563239,10694335
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,9449871281100960477,199438048851789795,10695716
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,300000000000000000000,6398769049387843475,10697961
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,72838105852558325715,1432708104890465668,10702314
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,31141580734825859996,996078355951578511,10706245
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,32527701970000000000,917837335873650058,10707199
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,277526163471655848097,8805696531562851862,10707778
